🏵港澳台,#genre#
有线财经台,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhKvGOtBLeCHx9bV1fRWziCA/ts
有线直播,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhMmWlegRwpdzY0bRbqNIeF0/ts
TVB经典台,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhKH4qBnsLg3sTEtHBUwHV7E/ts
TVB 星河,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhGQichlNdzVF_TO6wCoJw7A/ts
天映频道,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhA_VZmQPeIX4PTRuMXig3C8/ts
星卫电影台,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhPB2mayzFNS-E-JGdz-v2Jk/ts
TW-美亚电影,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhFCOXw46J1JIvL2pZMt_t8E/ts
HK-美亚电影“双声道”,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhIMIs3sZgzr4efC83MC-ejE/ts
HK美亚电影“普”,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhI48YbnqJXmrEem8ZP5rlec/ts
TVB亚洲剧台*双声道*,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhBvbYGuZL3i9lwLhtQfsmGE/ts
TVB 千禧經典台,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhACWXWo5Qinslb-rw4dPVNk/ts
TVB功夫*双声道*,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhI99Z9shz97Vx2zujgkQklA/ts
TVB 粤语片台,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhAdU9iS2vIhumIYzr7ATbII/ts
TVB 华语剧台*双声道*,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhNxxwy5aU01IkXuFlHCfXGs/ts
TVB 娱乐新闻台,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhLjHXHDlx1bVGiI5h_KITrI/ts
TVB 星河*双声道*,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhFsat2WznYeU2qC0rK-dQt0/ts
KIX,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhH-sKvNfNtcw7HMEXSZGPNc/ts
TVB戏曲台,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhLYDhksjmNDaGO33rnZF8GQ/ts
爆谷台,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhJHOoCikJFcj73wUI29xOgE/ts
Now星影台,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhGiQFEUZ9KWHBhLzed6sZ3s/ts
Now爆谷台,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhBoOgUKCwiZiocfD4Pm-3Mo/ts
Now财经台,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhPlkyw4yEz9F7Uf4WHTgqQU/ts
Now直播台,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhPmYtLV18EY_zsd7zPAesvg/ts
中天新闻,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhB1dxzDLzQiJznEseDahZOI/ts
中视新闻,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhLRSqAwr6UvBSA7F67dg3JU/ts
民视新闻,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhJXPksLq45IUzU8ELRmJi6I/ts
东森新闻,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhMPGMStVZ0oKTRUCz9PYFrg/ts
东森财经,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhDio0JMxhDiwU3qHBStbZMY/ts
寰宇新闻,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhP6-1CcdDdPEW310F4cIb58/ts
台视新闻,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhBOeKvs1GI89bTW2lnhIAfU/ts
壹新闻,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhOS2MDU334dEy1STaCZrCyo/ts
三立iNEWS,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhN509pYuZPHFtQKmUdI_94I/ts
三立LIVE,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhHC-IXH3VUfDy00HA9-R-5I/ts
镜新闻,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhLNcE4ixLVYr1On55MmITK0/ts
华视新闻,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhBC7OEXDVRQI4L9xmm49_c4/ts
非凡新闻,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhKLtm1pVCxb14giYS7xjGPc/ts
年代新闻,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhLoiALQUkBD5QKl0PcwyVT0/ts
TVBS新闻,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhIwBdBRumS1D95qZZDAmLo4/ts
ABC新闻,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhPVSjlOEb7TIo5_l9juUHDE/ts
BBC World News,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhLfU7MN8n2qbSEu-g6fCg5E/ts
Bloomberg News,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhEYi0IgSDjkFljiD-NTQHQI/ts
CBS新闻,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhGPT-VBq27g3b4UwbLfCx5o/ts
CBSN新闻,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhFBMEggoUivGiL1Okg-e6c4/ts
CNN,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhDERkheyIwhdE33XlXshM-4/ts
CNBC,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhLT8KyHECBCkg5rnE6rNkZw/ts
CGTN,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhB1iF7NiNG70rRHZLGexftQ/ts
DW,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhIVl9RqmQC7Hpac9XQMXqRw/ts
FRACE 24,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhGqeJrMSehS4qtjBteYHcmo/ts
FOX新闻,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhE_4Ispt7Cqv_iZkXhW3qmw/ts
中视,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhD1z0p4IxFeOeBEg6ix-RAc/ts
民视,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhNGJpKA00vLFtzfCHX5OKpo/ts
民视台湾,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhJd2PbSYf3znYr3VhycvKnU/ts
华视,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhI_64UlhnpE0R15bo0oWZSo/ts
公视,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhP_AMSOYThwYcGWm9d9p6EQ/ts
公视3,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhPTr3r_m7NIVCLJP9P8w9-I/ts
TVBS欢乐,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhAAbQz0z5qerASCJbhZHVkc/ts
中天娱乐,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhKCN7beYat21pczGyHPk3pM/ts
中天综合,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhBnmyl3PChAs1zgKIZY3TuA/ts
中天亚洲,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhKB4dKDGtE1snzGR1xOgsV4/ts
八大第一,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhG8d3i0eg0U5P_SvRKG8Jh8/ts
八大综合,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhETl3AweAqYmtjdTEvdgJPM/ts
八大戏剧,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhDc9tN6J_S3dh2_zDyCX4Fo/ts
八大娱乐,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhBL_HEo2h70KpyautO_n7ew/ts
三立台湾,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhBw16tcb510n2lCtZui3tXk/ts
三立综合,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhEJS-TsAiHAIU4yp-RWgwRE/ts
三立都会,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhGphENKc2eKJXNdKSnuQsTI/ts
东森综合,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhJ1w_bIbjfzmXWMIDnhIzL0/ts
东森超视,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhEB8DA5tepyV1GzmHu69Ku8/ts
龙华戏剧,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhIrbRz6APapd6Ac8yLB8rCs/ts
龙华经典,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhIrPQrjS5G0-CQIpQsrxUBk/ts
龙华偶像,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhOVKq8m-hzekb1i_YEkLErw/ts
靖天国际,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhORcjpDoI1DBOZNyo8VXq1c/ts
靖天资讯,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhOfsojxHKIDnAzG4CoP2iIo/ts
靖天卡通,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhOhzolDAYGhDy6ghjzk8_vA/ts
阿里郎,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhBNpdr6FHKsKKEkRo1solM0/ts
ELTA影剧,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhIZtkSI-skMX2X0yB24P3ro/ts
纬来体育,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhKSFok83zNdImT40V5BDJUk/ts
ELEVEN体育1,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhFnjVnk3MsIOGM9tOh_8w6Y/ts
ELEVEN体育2,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhNcOF0nu5PNvQVuSBadTbQ8/ts
博斯运动1,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhIbi1oNY9Hn-QVNDkFC7emE/ts
博斯运动2,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhPZXnJptOFe43kuYUPeVvPw/ts
博斯高球1,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhLyemp5Od4vRvzqGWxUdaUY/ts
博斯高球2,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhKSjXeMYkMT2_7ZzWk2dY3A/ts
博斯网球,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhG5G7kpMKym482OI_UVm5Do/ts
beIN Sport Premium 01,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhJxXmqhLe30N4ZstSDgW1b0/ts
beIN Sport Premium 02,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhFSscqYFsX5VlGN5gdDPd2k/ts
beIN Sport Premium 03,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhBlaabbHZSYDlPPQ8aP2MQA/ts
beIN Sport 01,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhDR-Phnhvn1jjbTH-BJU8D8/ts
beIN Sport 02,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhLeZtIEzJ34-7D1FmeE4YRI/ts
beIN Sport 03,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhHmReFMFZ4-QdRtWr-g1LAA/ts
beIN Sport 04,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhA631U35Ff0ZGaSuG5QjaUY/ts
beIN Sport 05,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhJiDDAw2uCXA0M97v05g-RQ/ts
beIN Sport 06,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhKsxzz2r961jB5qYOz-Eijc/ts
beIN Sport 07,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhNFZ_ZCHx4luGP9DQme-ffk/ts
爱尔达体育1,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhLINYIG28u8B-ftunPlJxbg/ts
爱尔达体育2,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhApe9lSqBTBB27mVE5wcXlE/ts
爱尔达体育3,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhD6DWwKoaNb3AbH8ywk9Jyg/ts
中山综合高清,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhL67jGVTN8LJchwjX3IGG54/ts
中山公共,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhCosqJp-Xdy9-n4B0fjBRbE/ts
ABC测试,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhK4TJAiOIwK7kE8y-gFhnBs/ts
Teletica HD,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhDNeg1K1bSf9Kl-J1cfOt80/ts
CANAL 8,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhAi_uvTnXDFh0fGWCbpbOKg/ts
FUTV,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhBgdvjRKc56l58lcfWhrY9k/ts
黄金翡翠台,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhIqlvLtArC1RW2fqIikIydI/ts
东森幼幼,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhASpoUI9SzokPBgYeFHCpgs/ts
Now华剧台,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhAcxYP_MlJokFo2z9wbHVh4/ts
HandsUp,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhC5ROyiF2BmJN1-qYgjz_Lc/ts
TELETICA,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhKTHjbvzs0G2hYPnbcjLN2g/ts
HSTV精制1,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhC8Z0IPI9qIz24EsBxw6iWg/ts
HSTV精制2,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhAaKoVCxMNNbISPIXXiIJoY/ts
HSTV精选9,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhOBT_oC8KEXxEYb7f8ZIG6g/ts
HBO HD,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhD6VxMx7BQ3uNgFiA3cO6gQ/ts
HBO原创,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhI42I5amFhQVD9Uo1IFgwjU/ts
HBO强档,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhL25UrlulvfPaZu6JrIY2F0/ts
HBO家庭,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhJsCgkid1KmLIrz-Ae-QNU0/ts
好莱坞电影,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhO3RxTjsrnFAzFfPDbYKIQo/ts
CINEMAX,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhA1UYTujGHl0dkNlHPIawB0/ts
AXN Taiwan,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhMJ6F2qv8Y334H5r1xjqGPs/ts
CatchPlay电影,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhO3Lp36UycQYDh6Np5-CUgI/ts
东森电影,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhJPW2GEgAAV5eOMUrOVxsm8/ts
东森洋片,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhNercDKOzR-YyekvAIIf0I0/ts
东森戏剧,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhO_WPNSvECCrM6-uXndQevU/ts
龙华洋片,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhB6aKIaLmp8kfwLGZZsufHc/ts
龙详时代,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhH2Wx3E66LvRa72MGxT857U/ts
卫视中文,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhD0BaPSbP-ChznX1wrpPW40/ts
天映频道,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhFeWW-VmuUkdF07C0rfaI1M/ts
天映经典,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhDR4fb5yKPkd0GC2zPx_jbs/ts
星卫电影,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhOaEypqx_MDMVGiiT3Xk_JM/ts
美亚电影,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhHGFl9wlpYTxE4xrdJT1ARQ/ts
星空电影,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhISxZ522UE1sTLVjMfntx88/ts
Animax,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhEaxiUiUEVzNtEewSjn1gRU/ts
卫视西片,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhHzlEeBGNXAR9xUjvlBfhA0/ts
Movies Now,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhKrjVbaFIA0rIwuny7C1cjA/ts
KiX,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhJqJfy8dHZIf6iP-q_ku36o/ts
华纳电影,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhJvgZSa8YncvGt6I09s9lno/ts
One,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhF3M7um0RMJDNLPMJ6dmrS8/ts
Thrill,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhGCa8EQYYc2MJOh-mMs7i3U/ts
Hits Movie,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhCUbvJIfSOovOc9ur9Ugw4E/ts
tvN Movie,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhHOgQGw7OaW6S3DtXnuRYZ0/ts
国家地理,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhBU3Bm0TMCOi9zdM41sAPJU/ts
国家地理野生,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhL6l6CL3AOWsIgv3fLjFdGc/ts
动物星球,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhHvANl10k_9xQSSP46H0MeM/ts
探索频道,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhBwTGPQ7_oyMCdVtQSqj3wE/ts
探索动力,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhCI8WNXrh58uyLGsu4xqlEU/ts
探索科学,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhLvIPCUj6NZdhIF2mfxBWQY/ts
探索亚洲,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhLbZXPltgoCurYDPW7RX4sM/ts
探索发现,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhFYIJMXVaZZMIc8bbNm7Stw/ts
EVE旅游,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhBfeoRepzqDhBxk0Ny_56iE/ts
TLC,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhGx7HmHooxkm0OGfCNLHMxA/ts
MTV Live,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhFhD1CQRj0JliuGGDOE6gsg/ts
BBC Earth HD,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhF5g6QD4PjjggayXpQxHsLE/ts
History,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhCDzE58_dW7zpZ37IYRfNgY/ts
BBC Earth Lifestyle,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhOMIestKqUunAd3f71SnZpg/ts
HGTV,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhDdGYIcXP4UyycOagDRJJiY/ts
AEC,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhEFlsy06XHD0z3i6pc2jfl4/ts
全佳,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhH64f9V84WbdTuvUHha74Dk/ts
小太阳,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhK2Ej0JdUvicC64FHhTHOQs/ts
AOD 511,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhNg12zR_1vHUfKjzZWLfFiM/ts
爱奇艺,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhCgsGoHgSU8qj9W2ItFI4R4/ts
HBO 1,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhBfOQDez9xPbhqsCVLrQDpM/ts
HBO 2,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhLOXQNw-0EfhomAkqLH6Elc/ts
HBO PLUS,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhE_3gEWDlRuWYnMu4V7zWUQ/ts
HBO 3,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhN_Vv_t-VR53nUJPHa2NL4k/ts
HBO,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhFcHECSF_R-_jwakf-SW7Pw/ts
HBO 4,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhDvxk7015BAlLoT_uYHEHeg/ts
HBO XTREME,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhHEM3la4Our0p7IE0-f-gC4/ts

✨央视,#genre#
CCTV-1高清,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhBjv6aoM9DXQmxD3MHodg-o/ts
CCTV-2高清,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhKzm02YAyHBlFZaTYbcpvqA/ts
CCTV-3高清,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhDT8BQGo5Xt4644vHwo_vus/ts
CCTV-4高清,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhK4wv7Hd7Z2k6mPPLCsNj9M/ts
